,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
84,Tranception_Tranception_L_reruns_avg_score_L_to_R,0.10,0.08,-0.07,0.09,0.36,0.39,0.53,0.49,0.40,0.44,0.28,0.26,0.24,0.36,0.26,0.18,0.49,0.44,0.21,0.14,0.13,0.15,0.20,0.17,-0.00,-0.01,0.19,0.16,0.05,0.08,0.24,0.27,0.16,0.21,0.19,0.15,0.56,0.45,0.28,0.31,0.50,0.53,-0.03,-0.06,0.41,0.43,0.17,0.11,0.28,0.28,0.26,0.24,,,0.11,0.15,-0.14,-0.04,-0.29,-0.33,0.53,0.42,0.32,0.32,-0.51,-0.50,0.66,0.66,0.56,0.54,0.14,0.08,-0.32,-0.30,0.08,0.04,-0.30,-0.36,0.50,0.48,0.44,0.46,0.38,0.31,0.55,0.54,-0.04,-0.01,0.04,0.06,0.14,0.15,0.37,0.26,0.14,0.07,0.21,0.21,0.28,0.26
85,Tranception_Tranception_L_reruns_avg_score_R_to_L,0.08,0.07,-0.09,0.12,0.38,0.40,0.49,0.46,0.36,0.39,0.23,0.21,0.42,0.48,0.25,0.17,0.61,0.55,0.38,0.32,0.04,0.14,0.23,0.19,0.02,0.01,0.17,0.14,0.20,0.24,0.26,0.28,0.16,0.20,0.14,0.10,0.52,0.39,0.03,0.05,0.59,0.60,-0.04,-0.05,0.36,0.39,0.17,0.13,0.31,0.31,0.38,0.36,,,0.35,0.49,-0.12,-0.04,-0.30,-0.32,0.35,0.19,0.35,0.37,-0.61,-0.59,0.56,0.57,0.55,0.52,0.09,0.05,-0.21,-0.17,0.09,0.05,-0.19,-0.26,0.48,0.45,0.43,0.43,0.16,0.13,0.51,0.49,0.02,0.02,-0.27,-0.26,-0.00,0.02,0.28,0.19,0.12,0.01,0.08,0.06,0.34,0.32
86,Tranception_Tranception_L_reruns_avg_score,0.09,0.07,-0.09,0.11,0.38,0.40,0.59,0.56,0.39,0.42,0.24,0.22,0.37,0.45,0.26,0.18,0.55,0.50,0.29,0.22,0.07,0.15,0.22,0.18,0.01,-0.00,0.18,0.15,0.11,0.15,0.25,0.28,0.17,0.21,0.18,0.14,0.54,0.42,0.17,0.18,0.55,0.57,-0.03,-0.06,0.41,0.43,0.19,0.14,0.30,0.30,0.32,0.29,,,0.24,0.38,-0.13,-0.04,-0.30,-0.32,0.45,0.31,0.34,0.36,-0.61,-0.60,0.63,0.64,0.56,0.54,0.12,0.06,-0.29,-0.26,0.09,0.04,-0.23,-0.30,0.50,0.48,0.44,0.45,0.29,0.24,0.54,0.53,-0.02,0.00,-0.14,-0.13,0.03,0.05,0.31,0.21,0.13,0.03,0.14,0.12,0.31,0.29
87,Tranception_Tranception_M_avg_score_L_to_R,0.17,0.15,-0.06,0.09,0.36,0.37,0.40,0.37,0.38,0.41,0.36,0.33,0.32,0.44,0.25,0.17,0.68,0.63,0.23,0.16,0.33,0.34,0.28,0.24,0.07,0.06,0.19,0.16,0.22,0.26,0.33,0.35,0.18,0.23,0.24,0.18,0.54,0.42,0.22,0.22,0.57,0.59,-0.02,-0.05,0.35,0.41,0.18,0.15,0.28,0.29,0.26,0.21,,,0.24,0.47,-0.06,0.04,-0.28,-0.31,0.02,-0.00,0.42,0.44,-0.43,-0.41,0.66,0.66,0.63,0.60,0.13,0.09,0.21,0.22,0.11,0.07,-0.38,-0.39,0.57,0.56,0.41,0.40,0.23,0.18,0.52,0.51,0.01,0.02,0.12,0.15,0.19,0.19,0.35,0.26,0.06,0.04,0.25,0.22,0.33,0.30
88,Tranception_Tranception_M_avg_score_R_to_L,0.17,0.15,-0.13,-0.01,0.39,0.41,0.63,0.61,0.38,0.40,0.18,0.17,0.32,0.41,0.23,0.16,0.62,0.58,0.40,0.36,0.03,0.12,0.24,0.20,-0.12,-0.11,0.03,0.01,0.18,0.22,0.23,0.25,0.23,0.27,0.21,0.17,0.50,0.38,0.10,0.12,0.54,0.56,-0.02,-0.03,0.28,0.32,0.22,0.18,0.29,0.30,0.34,0.32,,,0.28,0.45,-0.05,0.03,-0.30,-0.33,0.21,0.11,0.47,0.49,-0.56,-0.56,0.57,0.58,0.56,0.54,0.09,0.06,0.24,0.26,0.07,0.03,-0.45,-0.44,0.49,0.45,0.45,0.47,0.15,0.12,0.57,0.56,-0.05,-0.01,0.13,0.18,0.17,0.17,0.39,0.30,0.14,0.03,0.24,0.22,0.34,0.31
89,Tranception_Tranception_M_avg_score,0.17,0.15,-0.10,0.04,0.38,0.39,0.54,0.51,0.38,0.41,0.26,0.24,0.33,0.43,0.25,0.17,0.66,0.61,0.31,0.25,0.07,0.15,0.27,0.22,-0.05,-0.05,0.12,0.09,0.21,0.26,0.28,0.30,0.22,0.26,0.22,0.16,0.52,0.41,0.18,0.19,0.56,0.58,0.00,-0.04,0.33,0.38,0.22,0.19,0.28,0.30,0.30,0.26,,,0.27,0.48,-0.06,0.03,-0.30,-0.33,0.12,0.05,0.46,0.48,-0.55,-0.54,0.62,0.63,0.60,0.57,0.11,0.08,0.23,0.24,0.09,0.05,-0.42,-0.41,0.54,0.52,0.43,0.43,0.20,0.16,0.54,0.53,-0.02,0.01,0.12,0.17,0.18,0.18,0.39,0.30,0.12,0.02,0.24,0.22,0.34,0.31
90,Tranception_Tranception_S_avg_score_L_to_R,0.18,0.16,0.00,0.16,0.37,0.39,0.44,0.43,0.42,0.44,0.21,0.19,0.30,0.41,0.23,0.15,0.56,0.52,0.08,0.01,0.34,0.37,0.25,0.21,-0.05,-0.06,0.20,0.17,0.21,0.25,0.24,0.25,0.15,0.20,0.18,0.13,0.54,0.42,0.25,0.25,0.52,0.54,-0.02,-0.04,0.36,0.40,0.37,0.34,0.27,0.29,0.32,0.29,,,0.26,0.51,-0.21,-0.13,-0.34,-0.36,0.16,0.04,0.42,0.45,-0.45,-0.42,0.56,0.56,0.56,0.52,0.03,0.01,0.24,0.25,0.10,0.05,-0.37,-0.37,0.54,0.54,0.33,0.37,0.19,0.13,0.55,0.55,-0.01,0.00,0.14,0.14,0.19,0.20,0.43,0.34,0.03,-0.02,0.29,0.24,0.43,0.39
91,Tranception_Tranception_S_avg_score_R_to_L,0.15,0.13,-0.07,0.11,0.33,0.34,0.52,0.51,0.40,0.42,0.19,0.19,0.26,0.34,0.23,0.15,0.61,0.57,0.42,0.37,0.08,0.15,0.24,0.20,-0.02,-0.03,0.21,0.18,0.26,0.30,0.27,0.30,0.40,0.41,0.18,0.16,0.51,0.38,0.10,0.12,0.50,0.52,-0.04,-0.04,0.39,0.41,0.26,0.23,0.28,0.29,0.30,0.31,,,0.22,0.49,-0.07,0.02,-0.31,-0.34,0.05,-0.06,0.38,0.40,-0.60,-0.60,0.60,0.61,0.63,0.59,0.07,0.04,0.21,0.23,0.10,0.06,-0.47,-0.46,0.48,0.44,0.41,0.43,0.11,0.09,0.52,0.52,-0.09,-0.05,0.15,0.15,0.17,0.18,0.37,0.25,0.06,0.01,0.27,0.24,0.41,0.37
92,Tranception_Tranception_S_avg_score,0.16,0.14,-0.05,0.13,0.35,0.37,0.49,0.47,0.41,0.43,0.22,0.21,0.29,0.38,0.23,0.15,0.59,0.55,0.27,0.20,0.12,0.19,0.25,0.21,-0.04,-0.04,0.20,0.17,0.23,0.27,0.26,0.28,0.28,0.31,0.20,0.15,0.53,0.40,0.16,0.17,0.51,0.53,-0.02,-0.04,0.37,0.41,0.34,0.32,0.28,0.29,0.32,0.30,,,0.25,0.51,-0.13,-0.05,-0.33,-0.35,0.11,-0.01,0.41,0.43,-0.55,-0.53,0.60,0.60,0.61,0.57,0.05,0.02,0.22,0.24,0.10,0.06,-0.43,-0.42,0.53,0.51,0.38,0.41,0.17,0.12,0.55,0.55,-0.06,-0.03,0.14,0.15,0.18,0.19,0.40,0.30,0.05,-0.00,0.28,0.24,0.42,0.38
93,Tranception_no_retrieval_Tranception_L_avg_score_L_to_R,-0.37,-0.37,-0.03,-0.03,-0.11,-0.07,0.54,0.48,0.13,0.23,0.23,0.21,0.09,0.24,0.19,0.22,0.50,0.46,-0.02,-0.08,-0.40,-0.41,-0.01,-0.05,0.07,0.05,0.25,0.23,-0.23,-0.22,-0.13,-0.12,0.17,0.21,0.12,0.09,0.37,0.25,0.08,0.05,0.34,0.36,-0.10,-0.09,0.39,0.40,0.05,-0.03,-0.15,-0.11,0.19,0.16,,,0.07,0.01,-0.00,0.11,-0.17,-0.19,0.59,0.51,0.25,0.24,-0.18,-0.16,0.60,0.60,0.48,0.46,0.08,0.02,-0.58,-0.55,-0.29,-0.26,-0.34,-0.42,0.42,0.40,0.16,0.23,0.37,0.32,0.48,0.46,-0.04,0.02,-0.54,-0.53,-0.21,-0.22,0.24,0.11,0.21,0.16,0.03,0.09,0.16,0.16
94,Tranception_no_retrieval_Tranception_L_avg_score_R_to_L,-0.47,-0.44,-0.13,0.07,0.26,0.28,0.57,0.53,0.21,0.25,0.21,0.19,0.41,0.44,0.07,0.13,0.62,0.56,0.26,0.20,0.01,0.11,-0.06,-0.08,0.11,0.10,0.25,0.23,-0.15,-0.15,-0.11,-0.08,0.16,0.19,0.05,0.03,0.45,0.34,-0.15,-0.15,0.58,0.57,-0.20,-0.12,0.31,0.34,0.08,0.04,0.13,0.17,0.43,0.40,,,0.38,0.48,0.09,0.18,-0.28,-0.27,0.38,0.28,0.13,0.11,-0.57,-0.56,0.46,0.47,0.31,0.26,0.04,-0.00,-0.47,-0.43,-0.21,-0.18,-0.08,-0.18,0.32,0.27,0.07,0.03,0.06,0.06,0.34,0.31,0.20,0.16,-0.64,-0.60,-0.06,-0.03,0.25,0.17,0.16,0.04,-0.07,-0.06,0.24,0.24
95,Tranception_no_retrieval_Tranception_L_avg_score,-0.46,-0.44,-0.16,0.01,0.21,0.25,0.60,0.56,0.24,0.32,0.19,0.17,0.37,0.44,0.13,0.18,0.58,0.53,0.11,0.05,-0.02,0.08,-0.02,-0.05,0.10,0.09,0.27,0.24,-0.23,-0.22,-0.13,-0.11,0.19,0.22,0.10,0.07,0.44,0.34,-0.02,-0.01,0.52,0.52,-0.13,-0.10,0.38,0.39,0.09,0.02,-0.00,0.04,0.24,0.21,,,0.25,0.26,0.05,0.15,-0.25,-0.25,0.52,0.43,0.24,0.24,-0.57,-0.56,0.59,0.60,0.43,0.40,0.06,0.00,-0.58,-0.55,-0.26,-0.23,-0.15,-0.26,0.40,0.38,0.15,0.17,0.28,0.23,0.43,0.41,0.13,0.12,-0.68,-0.65,-0.06,-0.04,0.27,0.17,0.19,0.09,-0.06,-0.03,0.19,0.18
96,Tranception_no_retrieval_Tranception_M_avg_score_L_to_R,-0.19,-0.16,-0.07,0.04,-0.14,-0.12,0.55,0.51,0.06,0.16,0.34,0.31,0.31,0.43,0.11,0.16,0.69,0.64,0.05,-0.04,-0.03,-0.06,0.09,0.03,0.18,0.16,0.23,0.21,0.15,0.18,-0.07,-0.05,0.22,0.25,0.14,0.09,0.40,0.28,0.04,0.01,0.51,0.51,-0.09,-0.08,0.24,0.31,0.12,0.08,-0.11,-0.09,0.19,0.13,,,0.30,0.44,0.25,0.34,-0.20,-0.20,-0.38,-0.18,0.31,0.32,-0.14,-0.15,0.60,0.59,0.53,0.48,0.08,0.05,-0.18,-0.13,-0.19,-0.17,-0.31,-0.37,0.52,0.52,0.09,0.04,0.20,0.17,0.36,0.31,0.19,0.15,-0.40,-0.41,-0.07,-0.06,0.16,0.04,0.10,0.17,-0.09,-0.07,0.13,0.12
97,Tranception_no_retrieval_Tranception_M_avg_score_R_to_L,-0.02,-0.02,-0.18,-0.12,0.10,0.14,0.64,0.60,0.16,0.22,0.10,0.08,0.26,0.31,-0.07,0.00,0.64,0.60,0.29,0.24,-0.00,0.09,-0.01,-0.04,-0.13,-0.11,-0.01,-0.04,-0.16,-0.12,-0.14,-0.11,0.25,0.26,0.11,0.10,0.38,0.28,-0.07,-0.08,0.42,0.41,-0.11,-0.05,0.13,0.17,0.15,0.10,-0.11,-0.09,0.34,0.32,,,0.30,0.48,0.27,0.34,-0.33,-0.34,-0.15,-0.01,0.38,0.36,-0.51,-0.52,0.39,0.42,0.36,0.32,-0.00,-0.01,0.03,0.07,-0.21,-0.18,-0.34,-0.41,0.32,0.27,-0.26,-0.23,0.01,0.01,0.14,0.20,0.21,0.19,-0.04,0.01,-0.10,-0.12,0.38,0.29,0.19,0.08,-0.21,-0.12,0.30,0.29
98,Tranception_no_retrieval_Tranception_M_avg_score,-0.12,-0.10,-0.14,-0.04,-0.00,0.03,0.62,0.58,0.12,0.21,0.23,0.21,0.32,0.42,0.01,0.07,0.68,0.65,0.16,0.09,-0.01,0.08,0.07,0.01,-0.06,-0.05,0.11,0.08,0.11,0.14,-0.07,-0.05,0.26,0.28,0.13,0.09,0.39,0.28,-0.02,-0.04,0.50,0.50,-0.10,-0.08,0.23,0.29,0.15,0.11,-0.13,-0.10,0.22,0.16,,,0.30,0.47,0.29,0.37,-0.28,-0.28,-0.31,-0.11,0.39,0.39,-0.48,-0.49,0.51,0.53,0.48,0.43,0.04,0.02,-0.06,-0.02,-0.22,-0.18,-0.34,-0.40,0.46,0.44,-0.04,-0.07,0.15,0.12,0.36,0.32,0.21,0.18,-0.20,-0.15,-0.09,-0.10,0.39,0.28,0.20,0.10,-0.18,-0.12,0.21,0.20
99,Tranception_no_retrieval_Tranception_S_avg_score_L_to_R,-0.22,-0.22,0.21,0.17,-0.09,-0.05,0.52,0.52,-0.01,0.08,0.21,0.18,0.23,0.32,0.03,0.09,0.60,0.57,-0.09,-0.17,-0.05,-0.01,-0.03,-0.07,0.03,-0.00,0.25,0.24,0.12,0.15,-0.11,-0.11,0.18,0.21,0.11,0.07,0.34,0.21,-0.14,-0.15,0.23,0.19,-0.13,-0.10,0.22,0.26,0.34,0.32,-0.04,0.00,0.28,0.21,,,0.29,0.52,-0.12,-0.07,-0.42,-0.42,0.00,0.10,-0.07,-0.06,-0.06,-0.08,0.36,0.34,0.25,0.19,-0.12,-0.11,-0.06,-0.03,-0.28,-0.25,-0.23,-0.30,0.42,0.43,-0.44,-0.40,0.17,0.12,0.42,0.43,0.15,0.09,-0.41,-0.42,-0.06,-0.05,0.27,0.13,0.21,0.20,-0.02,-0.06,0.33,0.30
100,Tranception_no_retrieval_Tranception_S_avg_score_R_to_L,-0.30,-0.28,-0.10,0.04,-0.08,-0.06,0.60,0.57,0.16,0.22,0.07,0.08,0.09,0.12,0.12,0.15,0.67,0.65,0.27,0.20,0.04,0.12,-0.10,-0.14,0.11,0.09,0.30,0.28,0.07,0.08,-0.04,-0.03,0.43,0.43,0.03,0.04,0.33,0.19,-0.11,-0.11,0.21,0.19,-0.13,-0.05,-0.07,-0.03,0.15,0.12,-0.11,-0.07,0.24,0.26,,,0.30,0.58,0.12,0.21,-0.31,-0.32,-0.42,-0.25,0.19,0.18,-0.39,-0.40,0.55,0.56,0.40,0.34,-0.04,-0.04,-0.19,-0.16,-0.22,-0.19,-0.34,-0.41,0.19,0.15,-0.42,-0.40,-0.01,-0.01,-0.35,-0.28,0.07,0.05,0.23,0.11,-0.12,-0.10,0.31,0.15,0.19,0.16,-0.09,-0.06,0.32,0.28
101,Tranception_no_retrieval_Tranception_S_avg_score,-0.29,-0.27,-0.01,0.07,-0.09,-0.06,0.59,0.58,0.10,0.18,0.21,0.19,0.23,0.30,0.08,0.13,0.67,0.64,0.07,0.01,0.04,0.11,-0.06,-0.10,0.07,0.04,0.29,0.27,0.13,0.15,-0.08,-0.08,0.38,0.38,0.10,0.07,0.34,0.21,-0.13,-0.13,0.22,0.19,-0.14,-0.09,0.15,0.20,0.30,0.27,-0.08,-0.04,0.28,0.25,,,0.37,0.61,0.01,0.09,-0.39,-0.39,-0.21,-0.05,0.14,0.13,-0.28,-0.28,0.55,0.56,0.37,0.30,-0.08,-0.08,-0.13,-0.09,-0.26,-0.22,-0.31,-0.38,0.36,0.35,-0.46,-0.43,0.12,0.07,0.29,0.33,0.13,0.07,-0.13,-0.21,-0.09,-0.07,0.32,0.16,0.20,0.18,-0.06,-0.06,0.34,0.30
102,UniRep_Unirep_score,0.46,0.44,0.17,0.05,0.04,0.01,-0.64,-0.62,0.05,-0.04,0.37,0.33,-0.21,-0.28,-0.02,-0.08,-0.60,-0.57,0.16,0.21,0.20,0.18,0.02,0.06,0.05,0.07,-0.26,-0.24,0.01,-0.02,0.06,0.05,-0.11,-0.14,-0.33,-0.29,-0.37,-0.23,0.06,0.07,-0.41,-0.40,0.19,0.07,-0.38,-0.42,0.00,0.02,-0.01,-0.04,-0.45,-0.43,,,-0.19,-0.60,-0.06,-0.16,0.34,0.36,0.42,0.29,-0.13,-0.16,0.25,0.26,-0.40,-0.41,-0.43,-0.39,-0.05,-0.05,0.18,0.14,0.24,0.21,0.36,0.40,-0.02,-0.06,0.52,0.46,-0.09,-0.09,-0.62,-0.62,-0.17,-0.14,0.37,0.33,0.13,0.10,0.00,0.18,-0.25,-0.22,0.08,0.07,-0.25,-0.20
103,UniRep_evotuned_Unirep_score,0.38,0.32,0.19,0.09,-0.41,-0.38,-0.41,-0.38,-0.40,-0.41,-0.39,-0.37,-0.04,-0.18,-0.24,-0.17,-0.52,-0.49,-0.22,-0.20,-0.10,-0.19,-0.26,-0.24,0.08,0.09,0.18,0.20,-0.04,-0.06,-0.51,-0.56,-0.16,-0.14,-0.10,-0.08,-0.49,-0.40,-0.25,-0.24,-0.15,-0.15,0.01,0.03,-0.34,-0.33,-0.08,-0.06,-0.29,-0.30,-0.04,-0.05,,,-0.27,-0.47,0.08,0.02,0.15,0.19,0.25,0.40,-0.14,-0.14,0.23,0.24,-0.43,-0.44,-0.07,-0.09,-0.06,-0.01,0.30,0.27,-0.24,-0.23,0.24,0.20,-0.41,-0.43,-0.38,-0.36,-0.19,-0.18,0.20,0.20,0.12,0.11,0.16,0.16,-0.11,-0.13,-0.40,-0.44,-0.11,-0.07,-0.03,0.02,0.03,0.01
104,VESPA_VESPA,-0.19,-0.21,-0.20,-0.14,0.46,0.43,0.59,0.54,0.35,0.35,0.34,0.31,-0.03,0.04,0.33,0.24,0.31,0.28,0.25,0.17,0.08,0.16,-0.11,-0.13,-0.06,-0.06,0.15,0.12,0.27,0.30,0.29,0.31,0.07,0.05,0.07,0.03,0.48,0.35,0.04,0.02,0.49,0.47,0.02,0.04,0.26,0.30,-0.25,-0.27,0.41,0.43,0.19,0.10,,,0.03,0.24,-0.05,0.01,-0.29,-0.36,0.12,-0.11,0.14,0.13,-0.60,-0.61,0.60,0.61,-0.38,-0.43,-0.06,-0.05,0.12,0.11,-0.19,-0.18,-0.24,-0.27,0.47,0.46,0.37,0.37,-0.04,-0.02,0.48,0.46,-0.32,-0.32,-0.49,-0.43,0.23,0.25,0.42,0.36,0.30,0.21,0.32,0.26,0.17,0.13
105,VESPA_VESPAl,-0.24,-0.27,-0.23,-0.19,0.36,0.33,0.62,0.58,0.34,0.32,0.31,0.28,-0.03,0.02,0.23,0.14,0.29,0.25,0.29,0.23,0.07,0.15,-0.44,-0.42,-0.10,-0.08,-0.04,-0.07,0.26,0.29,0.21,0.22,-0.09,-0.11,0.07,0.03,0.54,0.42,-0.05,-0.06,0.45,0.43,0.04,0.04,0.21,0.22,-0.30,-0.31,0.42,0.44,0.14,0.05,,,-0.04,0.14,-0.23,-0.19,-0.23,-0.30,0.18,-0.06,-0.06,-0.06,-0.63,-0.62,0.64,0.65,-0.52,-0.53,-0.08,-0.08,0.06,0.06,-0.05,-0.06,-0.25,-0.22,0.47,0.46,0.28,0.28,-0.09,-0.04,0.46,0.45,-0.30,-0.29,-0.65,-0.61,0.20,0.22,0.42,0.34,0.33,0.24,0.20,0.16,0.13,0.09
106,VespaG_VespaG,-0.11,-0.11,-0.10,-0.06,0.52,0.50,0.66,0.63,0.45,0.47,0.27,0.27,0.19,0.25,0.33,0.24,0.45,0.41,0.27,0.20,0.47,0.52,0.29,0.25,-0.20,-0.20,0.20,0.17,0.13,0.12,0.33,0.33,0.25,0.25,0.22,0.18,0.50,0.40,0.25,0.26,0.46,0.47,-0.06,-0.08,0.30,0.33,0.24,0.21,0.38,0.41,0.27,0.19,,,0.11,0.42,0.06,0.14,-0.18,-0.22,0.01,-0.25,0.41,0.39,-0.35,-0.36,0.53,0.52,-0.18,-0.24,-0.08,-0.11,-0.01,0.01,-0.13,-0.08,0.04,0.02,0.55,0.54,0.32,0.36,0.28,0.26,0.48,0.47,-0.18,-0.12,-0.12,-0.00,0.20,0.21,0.37,0.30,0.11,-0.00,0.37,0.31,0.20,0.18
107,Wavenet_Wavenet_prediction,0.51,0.47,0.14,0.05,-0.25,-0.24,0.13,0.18,-0.35,-0.36,-0.31,-0.30,0.02,-0.05,0.04,0.13,-0.54,-0.50,-0.36,-0.34,-0.15,-0.19,-0.32,-0.30,0.01,-0.00,-0.07,-0.06,-0.24,-0.26,-0.39,-0.43,-0.15,-0.15,-0.07,-0.03,-0.35,-0.23,-0.23,-0.24,-0.52,-0.52,-0.01,0.02,-0.43,-0.46,-0.28,-0.25,-0.43,-0.42,-0.15,-0.18,,,-0.37,-0.61,0.06,-0.03,0.28,0.33,-0.43,-0.19,-0.26,-0.25,0.22,0.21,-0.49,-0.49,-0.39,-0.38,-0.02,0.01,0.05,0.05,-0.06,-0.01,-0.09,-0.10,-0.55,-0.55,-0.48,-0.46,-0.21,-0.19,-0.47,-0.42,0.12,0.07,0.10,-0.02,-0.17,-0.19,-0.42,-0.42,-0.08,0.05,-0.09,-0.04,-0.02,-0.01
